player_name,kit_number,team_name,appearance,goals,positon,age
Hoang Ngoc Hao,2,Hong Linh Ha Tinh,0,0,CB,28
Tran Duc Nam,3,Hong Linh Ha Tinh,0,0,ST,23
Jean Almeida,4,Hong Linh Ha Tinh,0,0,CB,29
Nguyen Danh Minh Quang,5,Hong Linh Ha Tinh,0,0,CB,
Ngo Xuan Toan,6,Hong Linh Ha Tinh,0,0,MF,29
Dinh Thanh Trung,7,Hong Linh Ha Tinh,0,0,MF,34
Tran Phi Ha,8,Hong Linh Ha Tinh,0,0,MF,26
Paollo Madeira,9,Hong Linh Ha Tinh,0,0,FW,26
Tran Phi Son,10,Hong Linh Ha Tinh,0,0,MF,30
Nguyen Van Hiep,11,Hong Linh Ha Tinh,0,0,MF,28
Dao Nhat Minh,14,Hong Linh Ha Tinh,0,0,MF,30
Truong Trong Sang,15,Hong Linh Ha Tinh,0,0,DF,29
Pham Van Long,16,Hong Linh Ha Tinh,0,0,MF,25
Dao Van Nam,17,Hong Linh Ha Tinh,0,0,DF,26
Trinh Duc Loi,18,Hong Linh Ha Tinh,0,0,DF,28
Nguyen Van Duc,19,Hong Linh Ha Tinh,0,0,MF,26
Nguyen Xuan Hung,20,Hong Linh Ha Tinh,0,0,DF,31
Nguyen Van Huy,21,Hong Linh Ha Tinh,0,0,MF,24
Phan Dinh Hai Vu,23,Hong Linh Ha Tinh,0,0,GK,
Duong Tung Dinh Lam,24,Hong Linh Ha Tinh,0,0,GK,
Duong Quang Tuan,25,Hong Linh Ha Tinh,0,0,GK,26
Giang Tran Quach Tan,27,Hong Linh Ha Tinh,0,0,MF,30
Nguyen Sy Nam,28,Hong Linh Ha Tinh,0,0,DF,29
Dinh Van Hung,29,Hong Linh Ha Tinh,0,0,MF,
Tran Van Cong,37,Hong Linh Ha Tinh,0,0,MF,23
Duong Van Kien,45,Hong Linh Ha Tinh,0,0,DF,19
Nguyen Trong Dai,77,Hong Linh Ha Tinh,0,0,MF,25
Nguyen Trung Hoc,88,Hong Linh Ha Tinh,0,0,MF,24
Dionatan Machado,92,Hong Linh Ha Tinh,0,0,FW,29
Nguyen Van Hanh,97,Hong Linh Ha Tinh,0,0,DF,24
