player_name,kit_number,team_name,appearance,goals,positon,age
��n Tiến Duy,2,Topeland Binh Dinh,0,0,CB,31
HLV Nguyễn Đức Thắng,,Topeland Binh Dinh,0,0,Huấn luyện viên,NaN
Hồ Tấn Tài,4,Topeland Binh Dinh,0,6,CB,25
Vũ Hữu Quý,5,Topeland Binh Dinh,0,0,CB,29
Đỗ Thanh Thịnh,6,Topeland Binh Dinh,0,0,CB,24
Nguyễn Xuân Nam,7,Topeland Binh Dinh,0,6,ST,28
Mạc Hồng Quân,8,Topeland Binh Dinh,0,1,CM,NaN
Rafaelson Bezerra Fernandes,9,Topeland Binh Dinh,0,5,ST,25
Hendrio Araujo Dasilva,10,Topeland Binh Dinh,0,7,CM,28
Lê Tiến Anh,11,Topeland Binh Dinh,0,0,CM,24
Jermie Dwayne Lynch,12,Topeland Binh Dinh,0,8,ST,31
Đỗ Văn Thuận,14,Topeland Binh Dinh,0,1,CM,30
Lê Ngọc Bảo,17,Topeland Binh Dinh,0,0,CB,24
Võ Doãn Thục Kha,1,Topeland Binh Dinh,0,0,GK,31
Adriano Schmidt,19,Topeland Binh Dinh,0,0,CB,28
Hà Đức Chinh,18,Topeland Binh Dinh,0,0,ST,25
Dương Thanh Hào,3,Topeland Binh Dinh,0,0,CB,31
Nguyễn Huỳnh Hữu An,20,Topeland Binh Dinh,0,0,CB,25
Vũ Tuyên Quang,23,Topeland Binh Dinh,0,0,GK,27
Trần Đình Minh Hoàng,26,Topeland Binh Dinh,0,0,GK,29
Vũ Viết Triều,30,Topeland Binh Dinh,0,0,CB,25
Lý Công Hoàng Anh,28,Topeland Binh Dinh,0,2,CM,23
Trần Văn Thái,32,Topeland Binh Dinh,0,0,CB,21
Đào Gia Việt,33,Topeland Binh Dinh,0,0,ST,19
Nguyễn Hải Chi Nguyện,34,Topeland Binh Dinh,0,0,CM,18
Đặng Văn Lâm,35,Topeland Binh Dinh,0,0,GK,29
Phan Ngọc Tín,31,Topeland Binh Dinh,0,0,CM,18
Phạm Văn Thành,88,Topeland Binh Dinh,0,1,CM,28
Trần Văn Trung,22,Topeland Binh Dinh,0,0,CM,24
Nguyễn Phú Nhã,36,Topeland Binh Dinh,0,0,CM,18
Đặng Văn Trâm,98,Topeland Binh Dinh,0,0,CM,27
Nghiêm Xuân Tú,77,Topeland Binh Dinh,0,0,CM,34
Bùi Đoàn quang Huy,,Topeland Binh Dinh,0,0,Trợ lý HLV,NaN
Trần Đình Trọng,21,Topeland Binh Dinh,0,0,CB,25
